Annual kilometers,Liability Premium
3648 kms,250
819 kms,421
9012 kms,416
8024 kms,285
7314 kms,395
4572 kms,198
3358 kms,460
17870 kms,135
2848 kms,123
19349 kms,438
13825 kms,216
1041 kms,495
976 kms,248
3070 kms,140
7164 kms,219
7623 kms,151
16559 kms,294
19726 kms,242
869 kms,332
18390 kms,425
6515 kms,286
17856 kms,183
13746 kms,289
7223 kms,281
14719 kms,207
19309 kms,443
9115 kms,236
212 kms,459
5231 kms,449
13848 kms,431
11149 kms,136
9105 kms,411
5094 kms,425
7055 kms,187
11029 kms,373
3349 kms,473
3039 kms,225
12449 kms,183
3169 kms,336
11763 kms,294
11270 kms,238
19782 kms,427
8667 kms,452
1423 kms,385
15054 kms,212
17571 kms,450
4090 kms,266
12403 kms,493
2582 kms,497
18089 kms,128
